2025-11-17 06:41:57	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m──────────────────────────────────────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m,   severity = [31mcol_character()[39m ) 
2025-11-17 06:41:57	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS
2025-11-17 06:41:57	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleDuringLife check has been reimplemented with the plausibleBeforeDeath check.
2025-11-17 06:41:57	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleTemporalAfter check has been reimplemented with the plausibleAfterBirth and plausibleStartBeforeEnd checks.
2025-11-17 06:41:57	[Main thread]	WARN	DataQualityDashboard	executeDqChecks	DEPRECATION WARNING - The plausibleGender check has been reimplemented with the plausibleGenderUseDescendants check.
2025-11-17 06:41:57	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2025-11-17 06:41:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2025-11-17 06:41:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2025-11-17 06:41:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureObservationPeriodOverlap
2025-11-17 06:41:58	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2025-11-17 06:42:07	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2025-11-17 06:42:10	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2025-11-17 06:42:15	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2025-11-17 06:42:15	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2025-11-17 06:42:19	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2025-11-17 06:42:20	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2025-11-17 06:42:20	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2025-11-17 06:42:22	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2025-11-17 06:42:30	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2025-11-17 06:42:31	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2025-11-17 06:42:32	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2025-11-17 06:42:33	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2025-11-17 06:42:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2025-11-17 06:42:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2025-11-17 06:42:37	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2025-11-17 06:42:38	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2025-11-17 06:42:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleAfterBirth
2025-11-17 06:42:40	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleBeforeDeath
2025-11-17 06:42:41	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleStartBeforeEnd
2025-11-17 06:42:42	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2025-11-17 06:42:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGenderUseDescendants
2025-11-17 06:42:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
